timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1548509205095,37,Open Random Page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-4,,true,,29171,921,8,8,null,0,3398,0
1548509208486,37,Open Random Page ,200,OK,Main script 1-4,text,true,,29171,921,8,8,http://10.17.172.226/blog/2019/01/05/default?page=9,32,0,1
1548509205007,83,Open Large Calendar transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-5,,true,,79916,917,8,8,null,0,3722,0
1548509208701,83,Open Large Calendar,200,OK,Main script 1-5,text,true,,79916,917,8,8,http://10.17.172.226/blog/calendar/default.aspx,70,0,2
1548509204204,43,Open Random Page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-1,,true,,32502,921,8,8,null,0,4717,0
1548509208912,43,Open Random Page ,200,OK,Main script 1-1,text,true,,32502,921,8,8,http://10.17.172.226/blog/2019/01/07/default?page=9,38,0,2
1548509205785,42,Go To Main Blog page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-6,,true,,31599,896,8,8,null,0,3198,0
1548509208974,42,Go To Main Blog page,200,OK,Main script 1-6,text,true,,31599,896,8,8,http://10.17.172.226/blog/,37,0,2
1548509206302,57,Log in transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-7,,true,,32094,1144,8,8,null,0,4993,0
1548509211287,57,Log in as Anonymous,200,OK,Main script 1-7,text,true,,32094,1144,8,8,http://10.17.172.226/blog/,9,0,2
1548509207142,8,Go to log in page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-8,,true,,4674,173,8,8,null,0,4319,0
1548509211453,8,Go to log in page,200,OK,Main script 1-8,text,true,,4674,173,8,8,http://10.17.172.226/blog/Account/login.aspx,7,0,1
1548509208217,121,Open Large Calendar transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-3,,true,,79916,917,8,8,null,0,3441,0
1548509211635,121,Open Large Calendar,200,OK,Main script 1-3,text,true,,79916,917,8,8,http://10.17.172.226/blog/calendar/default.aspx,108,0,1
1548509209024,114,Open Large Calendar transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-6,,true,,79916,917,9,9,null,0,3053,0
1548509212054,114,Open Large Calendar,200,OK,Main script 1-6,text,true,,79916,917,9,9,http://10.17.172.226/blog/calendar/default.aspx,101,0,1
1548509208530,241,Open First or Random Post transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-4,,true,,25397,912,9,9,null,0,3618,0
1548509212148,241,Go to post  post/365-editor1,200,OK,Main script 1-4,text,true,,25397,912,9,9,http://10.17.172.226/blog/post/365-editor1,236,0,2
1548509208812,159,Open First or Random Post transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-5,,true,,25822,912,9,9,null,0,3983,0
1548509212796,159,Go to post  post/227-editor1,200,OK,Main script 1-5,text,true,,25822,912,9,9,http://10.17.172.226/blog/post/227-editor1,153,0,1
1548509209044,161,Open First or Random Post transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-2,,true,,25582,912,9,9,null,0,4067,0
1548509213112,161,Go to post  post/424-editor2,200,OK,Main script 1-2,text,true,,25582,912,9,9,http://10.17.172.226/blog/post/424-editor2,156,0,1
1548509208964,46,Open First or Random Post transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-1,,true,,25411,910,9,9,null,0,4937,0
1548509213902,46,Go to post  post/9-editor1,200,OK,Main script 1-1,text,true,,25411,910,9,9,http://10.17.172.226/blog/post/9-editor1,41,0,1
1548509211352,44,Go To Main Blog page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-7,,true,,31599,896,9,9,null,0,3323,0
1548509214669,44,Go To Main Blog page,200,OK,Main script 1-7,text,true,,31599,896,9,9,http://10.17.172.226/blog/,38,0,1
1548509211469,70,Log in transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-8,,true,,32094,1142,9,9,null,0,3217,0
1548509214679,70,Log in as Anonymous,200,OK,Main script 1-8,text,true,,32094,1142,9,9,http://10.17.172.226/blog/,13,0,4
1548509211779,198,Open First or Random Post transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-3,,true,,25173,912,9,9,null,0,3664,0
1548509215444,198,Go to post  post/272-editor1,200,OK,Main script 1-3,text,true,,25173,912,9,9,http://10.17.172.226/blog/post/272-editor1,193,0,2
1548509212192,248,Open First or Random Post transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-6,,true,,25778,912,9,9,null,0,3330,0
1548509215522,248,Go to post  post/106-editor2,200,OK,Main script 1-6,text,true,,25778,912,9,9,http://10.17.172.226/blog/post/106-editor2,243,0,2
1548509212140,7,Go to log in page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-9,,true,,4674,173,9,9,null,0,4908,0
1548509217040,7,Go to log in page,200,OK,Main script 1-9,text,true,,4674,173,9,9,http://10.17.172.226/blog/Account/login.aspx,7,0,1
1548509212397,236,Comment transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-4,,true,,2720,2966,10,10,null,0,4573,0
1548509216970,236,Comment,200,OK,Main script 1-4,text,true,,2720,2966,10,10,http://10.17.172.226/blog/post/365-editor1,236,0,2
1548509213274,59,Open Home Page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-2,,true,,30528,896,10,10,null,0,4037,0
1548509217289,59,Open Home Page,200,OK,Main script 1-2,text,true,,30528,896,10,10,http://10.17.172.226/blog/,54,0,1
1548509212956,47,Comment transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-5,,true,,3104,3360,10,10,null,0,4964,0
